a	啊,阿,吖,锕,腌,呵,嗄
ai	爱,艾,哎,唉,哀,挨,埃,矮,碍,暧,癌,蔼,隘,皑,霭,嗳,嫒,毐,欸,叆,瑷,砹,锿,嗌,愛,捱,噯,僾,薆,嬡,壒,鑀,敳,礙,曖,啀,璦,瞹,娭,藹,譪,呆,溾,昹,騃,靄,皚,鴱,溰,餲
an	按,安,暗,案,岸,俺,黯,庵,鞍,谙,氨,胺,鹌,桉,犴,唵,铵,埯,𩽾,盦,垵,揞,厂,广,闇,儑,侒,荌,鮟,諳,銨,豻,錌,萻,韽,啽,峖,腤,馣,雸,鵪
ang	昂,肮,盎,卬,昻,骯,醠
ao	傲,奥,熬,敖,澳,凹,懊,嗷,拗,袄,鳌,翱,獒,骜,坳,鏖,遨,媪,螯,岙,璈,鏊,聱,廒,奡,薁,隩,鿫,嶅,奧,芺,鰲,謷,墺,擙,襖,鼇,镺,扷,嶴,岰,滶,隞,爊,蔜,柪,艹
ba	把,吧,八,爸,巴,罢,拔,霸,疤,跋,扒,叭,芭,靶,坝,耙,笆,魃,粑,钯,灞,捌,鲅,岜,鲃,菝,妭,蚆,胈,羓,朳,㞎,茇,罷,仈,犮,壩,矲,癹,豝,覇,抜,弝,軷,釟,釛,鼥
bai	白,百,败,摆,拜,柏,掰,伯,佰,稗,捭,呗,擘,挀,敗,擺,粺,栢,粨,拝,竡
ban	半,办,般,板,班,伴,版,搬,扮,斑,扳,瓣,绊,颁,拌,阪,坂,瘢,钣,癍,攽,柈,昄,湴,靽,𨭉,辦,闆,粄,頒,舨,絆,蝂,姅,鈑,怑,鉡,螁,魬,斒
bang	帮,膀,邦,棒,绑,榜,傍,磅,梆,镑,谤,蚌,浜,蒡,𠳐,玤,搒,塝,幫,幇,垹,綁,旁,謗,鞤,鎊,縍,艕,峀
bao	保,报,包,宝,抱,暴,爆,薄,堡,饱,豹,胞,剥,鲍,褒,刨,苞,鸨,曝,煲,葆,雹,褓,炮,龅,孢,趵,枹,瀑,宀,寶,勹,報,菢,寳,飽,鮑,儤,笣,窇,蕔,媬,珤,鑤,鴇,虣,齙,怉,靤,鳵,駂,忁,髱,飹
bei	被,备,北,背,呗,杯,辈,悲,贝,倍,卑,惫,碑,狈,蓓,悖,孛,焙,邶,陂,钡,褙,碚,鞴,鐾,鹎,琲,棓,糒,椑,臂,鞁,𬇙,備,唄,貝,盃,輩,偝,珼,牬,庳,誖,鋇,揹,桮,憊,襬,梖,狽,骳,藣,鄁,鵯,犕
