aa	啊啊|吖吖|阿阿
aaa	啊啊啊
aaaa	啊啊啊啊
aadb	嗷嗷待哺
aafm	哀哀父母
aai	阿呆
aaww	安安稳稳
aayj	哀哀欲绝
aazr	昂昂自若
aba	阿坝|阿爸|阿八
abai	阿伯
abaidingjun	阿伯丁郡
abaizhengjun	阿伯丁郡
abakanshi	阿巴坎市
abalaqiyashan	阿巴拉契亚山
abalaxieyashan	阿巴拉契亚山
abang	阿傍|阿谤|阿旁
abao	阿宝|阿保
abasi	阿巴斯
abasuofu	阿巴索夫
abazhou	阿坝州
abbd	按兵不动
abbj	按兵不举
abbl	苍白无力
abbs	哀兵必胜
abdc	安步当车
abdg	安邦定国
abdy	阿鼻地狱
abenlang	阿本郎
abeqbz	爱博而情不专
abi	阿鼻|阿比|阿辟|阿避|呵笔|呵跸|呵辟|呵壁
abian	阿扁
abideyu	阿鼻地狱
abidiyu	阿鼻地狱
abigui	阿鼻鬼
abing	阿柄|阿炳
abirang	阿比让
abiyu	阿鼻狱
abjb	按步就班|按部就班
abkz	敖不可长|傲不可长
ablk	爱别离苦
abo	阿伯
abodingjun	阿伯丁郡
aboluo	阿波罗
abozhengjun	阿伯丁郡
abrs	爱不忍释
absj	按兵束甲|案兵束甲
abss	爱不释手
abu	阿布
abudoukelimu	阿不都克里木
abudukelimu	阿不都克里木
abugan	阿步干
abww	安不忘危
abzg	安邦治国
accs	安常处顺
acdr	暗锤打人
aceng	阿曾
acgd	熬肠刮肚
acha	阿茶|呵察|阿察
achan	阿谄
achangzu	阿昌族
achaxiang	阿察乡
achen	呵嗔
acheng	嗄程
achengshi	阿城市
achengxian	阿城县
achengxuan	阿城县
achi	阿叱|呵叱|呵斥
achu	呵歜
acijiaoxiang	阿兹觉乡
acijuexiang	阿兹觉乡
acls	安常履顺
acong	阿从
acpl	安车蒲轮
acrk	爱才如渴|爱才若渴
acrm	爱才如命|爱财如命
acsf	安常守分
acsg	安常守故
acuo	阿措
acxg	安常习故
ada	阿达|阿大
adai	阿呆|阿大
adang	阿党
adangbizhou	阿党比周
adangzhen	阿党镇
adao	呵导|呵道
adcc	暗度陈仓|暗渡陈仓
ade	阿德|阿的
adeleidegang	阿德雷德港
adeng	阿等
adeping	阿的平
adi	阿迪|阿弟|阿的
adian	阿殿|呵殿
